Run,FinalTime,ResourcesCollected
1,3600.000000,155.000000
2,3600.000000,167.000000
3,3600.000000,152.000000
4,3600.000000,169.000000
5,3600.000000,168.000000
6,3600.000000,143.000000
7,3600.000000,167.000000
8,3600.000000,164.000000
9,3600.000000,150.000000
10,3600.000000,176.000000
