Run,FinalTime,ResourcesCollected
1,3600.000000,176.000000
2,3600.000000,164.000000
3,3600.000000,181.000000
4,3600.000000,148.000000
5,3600.000000,179.000000
6,3600.000000,170.000000
7,3600.000000,195.000000
8,3600.000000,162.000000
9,3600.000000,169.000000
10,3600.000000,160.000000
