Run,FinalTime,ResourcesCollected
1,1800.000000,67.000000
2,1800.000000,62.000000
3,1800.000000,84.000000
4,1800.000000,64.000000
5,1800.000000,60.000000
6,1800.000000,68.000000
7,1800.000000,62.000000
8,1800.000000,81.000000
9,1800.000000,61.000000
10,1800.000000,56.000000
