Run,FinalTime,ResourcesCollected
1,3600.000000,175.000000
2,3600.000000,167.000000
3,3600.000000,139.000000
4,3600.000000,157.000000
5,3600.000000,165.000000
6,3600.000000,162.000000
7,3600.000000,173.000000
8,3600.000000,171.000000
9,3600.000000,148.000000
10,3600.000000,157.000000
