Run,FinalTime,ResourcesCollected
1,1800.000000,86.000000
2,1800.000000,84.000000
3,1800.000000,80.000000
4,1800.000000,84.000000
5,1800.000000,91.000000
6,1800.000000,86.000000
7,1800.000000,90.000000
8,1800.000000,89.000000
9,1800.000000,88.000000
10,1800.000000,90.000000
